,Name,LTP,P/E,Debt_to_equity,ESP,BVPS,Net_Profit(RS.cr),DSP(RS.),NPM%,ROE%,Category,Status
52,Hind Zinc,332.65,14.45,0.2,18.89,76.48,7980.0,21.3,35.26,24.69,NIFTY_METAL,profit
53,Jindal Steel,381.9,9.64,0.68,35.63,303.3,5526.0,0.0,10.94,11.42,NIFTY_METAL,profit
54,JSW Steel,662.35,14.23,1.11,32.91,152.8,7872.0,6.5,9.85,16.91,NIFTY_METAL,profit
55,MOIL,173.9,20.24,0.0,7.44,118.82,176.0,7.4,15.0,6.26,NIFTY_METAL,profit
56,NALCO,98.75,7.75,0.0,6.97,58.14,1299.0,3.5,14.51,12.16,NIFTY_METAL,profit
57,NMDC,138.2,6.54,0.07,20.7,102.02,6247.0,7.76,40.64,21.0,NIFTY_METAL,profit
58,Ratnamani Metal,2170.35,32.2,0.07,59.07,425.35,276.0,14.0,12.0,13.88,NIFTY_METAL,profit
59,SAIL,113.65,8.45,0.82,9.32,105.3,3850.0,0.0,5.57,8.85,NIFTY_METAL,profit
60,Tata Steel,1220.05,12.73,1.11,63.78,640.69,7862.0,25.0,5.03,10.19,NIFTY_METAL,profit
61,Vedanta,338.2,7.3,0.8,31.32,208.11,15033.0,9.5,17.07,18.62,NIFTY_METAL,profit
62,Welspun Corp,159.4,5.83,0.15,23.72,146.38,495.0,5.0,7.69,16.31,NIFTY_METAL,profit
63,Brigade Ent,513.05,-124.04,1.71,-2.24,116.4,-98.0,0.0,-5.07,-1.98,NIFTY_REALTY,loss
64,DLF,417.95,64.94,0.16,4.42,142.87,477.0,2.0,8.81,3.09,NIFTY_REALTY,profit
65,Godrej Prop,2222.2,-188.07,0.54,-7.48,299.33,-73.0,0.0,-9.59,-2.27,NIFTY_REALTY,loss
66,Hemisphere,138.55,-528.65,0.11,-0.26,13.22,-7.0,0.0,0.0,-1.97,NIFTY_REALTY,loss
68,Oberoi Realty,957.35,28.29,0.16,20.33,257.68,736.0,0.0,35.85,7.89,NIFTY_REALTY,profit
69,Phoenix Mills,1084.55,243.95,0.75,3.2,360.96,33.0,1.0,3.15,1.07,NIFTY_REALTY,profit
70,Prestige Estate,466.25,8.41,0.54,36.32,176.98,1577.0,1.5,21.7,21.81,NIFTY_REALTY,profit
71,Sobha,867.55,63.23,1.26,6.91,241.14,65.0,3.5,3.05,2.86,NIFTY_REALTY,profit
72,Sunteck Realty,480.4,94.09,0.24,2.98,197.46,41.0,1.5,6.77,1.51,NIFTY_REALTY,profit
73,DB Corp,99.8,11.12,0.03,8.08,104.19,141.0,3.0,9.37,7.75,NIFTY_MEDIA,profit
74,Dish TV,17.35,-1.51,0.18,-6.12,14.27,-1189.0,0.0,-36.61,-43.82,NIFTY_MEDIA,loss
75,INOX Leisure,426.3,-8.85,0.11,-32.22,56.27,-337.0,0.0,-318.74,-53.34,NIFTY_MEDIA,loss
76,JagranPrakashan,66.3,18.59,0.13,3.16,79.64,78.0,0.0,6.05,4.45,NIFTY_MEDIA,profit
77,PVR,1737.65,-9.04,0.6,-135.64,301.74,-747.0,0.0,-266.99,-40.78,NIFTY_MEDIA,loss
78,Sun TV Network,554.15,12.15,0.0,38.7,179.12,1531.0,5.0,48.21,21.62,NIFTY_MEDIA,profit
79,TV TodayNetwork,404.25,12.04,0.0,22.04,166.03,131.0,2.5,16.79,13.27,NIFTY_MEDIA,profit
80,TV18 Broadcast,44.9,10.81,0.21,2.66,31.23,686.0,0.0,15.25,10.86,NIFTY_MEDIA,profit
81,Zee Entertain,320.2,24.39,0.0,8.33,105.18,793.0,2.5,10.26,7.92,NIFTY_MEDIA,profit
82,Adani Green Ene,1313.5,1624.78,27.22,0.68,5.03,176.0,0.0,5.63,24.39,NIFTY_ENERGY,profit
83,BPCL,413.8,5.23,0.75,81.87,255.89,17645.0,79.0,7.66,30.18,NIFTY_ENERGY,profit
84,GAIL,145.0,9.96,0.13,13.61,119.99,4428.0,5.0,7.71,11.53,NIFTY_ENERGY,profit
85,HPCL,326.0,3.32,1.12,70.57,262.19,10524.0,22.75,4.51,28.0,NIFTY_ENERGY,profit
86,IOC,128.45,3.9,0.97,23.57,122.88,20565.0,12.0,5.65,19.34,NIFTY_ENERGY,profit
87,NTPC,136.45,7.17,1.57,14.87,133.31,14285.0,6.15,12.8,11.63,NIFTY_ENERGY,profit
88,ONGC,157.4,7.91,0.5,12.92,192.84,20324.0,3.6,6.68,7.35,NIFTY_ENERGY,profit
89,Power Grid Corp,191.05,7.03,1.87,23.01,133.68,11821.0,12.0,29.82,17.21,NIFTY_ENERGY,profit
90,Reliance,2464.0,26.23,0.32,76.37,1240.39,53223.0,7.0,11.39,7.01,NIFTY_ENERGY,profit
91,Tata Power,249.9,32.57,1.85,3.17,74.32,611.0,1.55,1.74,5.41,NIFTY_ENERGY,profit
92,ACC,2471.55,0.0,0.01,76.16,675.69,1421.0,14.0,10.3,11.26,NIFTY_INFRA,profit
93,Adani Ports,735.55,28.58,1.09,24.58,157.16,5063.0,5.0,40.34,16.39,NIFTY_INFRA,profit
94,Ambuja Cements,409.15,0.0,0.0,11.91,146.54,3092.0,18.0,12.61,10.39,NIFTY_INFRA,profit
95,Apollo Hospital,5733.95,270.27,0.54,10.74,333.96,136.0,3.0,1.28,3.26,NIFTY_INFRA,profit
96,Ashok Leyland,146.0,-106.07,0.53,-1.07,23.77,-313.0,0.0,-2.05,-4.49,NIFTY_INFRA,loss
97,Balkrishna Ind,2322.15,27.72,0.17,60.91,310.39,1177.0,17.0,20.36,19.62,NIFTY_INFRA,profit
98,BPCL,413.8,5.23,0.75,81.87,255.89,17645.0,79.0,7.66,30.18,NIFTY_INFRA,profit
99,Bharti Airtel,720.05,-18.36,2.2,-27.65,147.9,-23327.0,0.0,-12.19,-25.58,NIFTY_INFRA,loss
100,Container Corp,665.25,72.75,0.01,8.22,168.9,469.0,5.0,7.3,4.95,NIFTY_INFRA,profit
101,DLF,417.95,64.94,0.16,4.42,142.87,477.0,2.0,8.81,3.09,NIFTY_INFRA,profit
102,Exide Ind,177.5,19.27,0.02,9.53,86.1,803.0,2.0,5.25,11.13,NIFTY_INFRA,profit
103,GAIL,145.0,9.96,0.13,13.61,119.99,4428.0,5.0,7.71,11.53,NIFTY_INFRA,profit
104,Grasim,1792.65,22.12,0.95,65.57,1558.52,6560.0,9.0,8.89,6.57,NIFTY_INFRA,profit
105,HPCL,326.0,3.32,1.12,70.57,262.19,10524.0,22.75,4.51,28.0,NIFTY_INFRA,profit
