,Name,LTP,%Chg,Volume,Buy Price,Sell Price,Buy Qty,Sell Qty,Open,Prev.Close,
11,SBI,511.35,0.34,"19,836,221",0.00,511.35,0,327,512.00,509.60,
0,Aarti Ind,948.30,0.89,"1,186,211",948.30,0.00,356,0,950.10,939.90,
1,Adani Total Gas,"1,663.25",0.26,"177,805","1,663.25",0.00,67,0,"1,666.00","1,658.90",
2,AB Capital,106.55,-1.57,"1,766,815",106.55,0.00,123,0,108.95,108.25,
3,Aditya Birla F,298.20,-0.75,"3,079,654",298.20,0.00,345,0,302.90,300.45,
4,Ajanta Pharma,"2,184.40",1.58,"35,545",0.00,"2,184.40",0,109,"2,165.00","2,150.45",
5,Alembic Pharma,780.45,1.45,"326,310",0.00,780.45,0,364,770.00,769.30,
6,Amara Raja Batt,696.70,-0.19,"611,957",0.00,0.00,0,0,699.00,698.05,
7,Apollo Tyres,232.50,0.22,"1,696,917",0.00,232.50,0,"2,705",233.00,232.00,
8,Ashok Leyland,145.70,-0.48,"8,584,972",145.70,0.00,"3,125",0,147.25,146.40,
9,AU Small Financ,"1,216.30",1.24,"445,769",0.00,"1,216.30",0,201,"1,206.80","1,201.40",
10,Balkrishna Ind,"2,361.75",-0.76,"954,647","2,361.75",0.00,278,0,"2,425.00","2,379.90",
11,Bank of Baroda,101.35,0.05,"25,655,521",101.35,0.00,"1,215",0,102.25,101.30,
12,Bank of India,61.75,-0.80,"5,821,598",61.75,0.00,45,0,62.80,62.25,
13,Bata India,"2,156.75",0.59,"549,920","2,156.75",0.00,401,0,"2,150.25","2,144.15",
14,Bharat Elec,223.60,0.13,"7,710,674",0.00,223.60,0,897,225.50,223.30,
15,Bharat Forge,775.05,-0.90,"7,646,975",0.00,775.05,0,"6,303",791.00,782.05,
16,BHEL,65.15,0.54,"36,992,832",0.00,65.15,0,"56,549",65.00,64.80,
17,Bombay Burmah,"1,116.30",0.46,"34,508","1,116.30",0.00,45,0,"1,119.00","1,111.15",
18,Canara Bank,230.80,-0.35,"15,085,718",230.80,0.00,2,0,233.00,231.60,
19,Castrol,136.30,-1.02,"486,617",136.30,0.00,232,0,138.60,137.70,
20,CESC,90.60,-0.93,"2,498,012",90.60,0.00,"8,261",0,91.70,91.45,
21,Chola,Invest.,662.40,3.58,"3,233,137",662.40,0.00,"181,396",0,644.90,639.50
22,City Union Bank,163.85,-0.40,"1,912,776",163.85,0.00,45,0,164.75,164.50,
23,COFORGE,LTD.,"5,418.00",0.78,"244,516",0.00,"5,418.00",0,165,"5,431.00","5,376.20"
24,Container Corp,687.20,0.30,"688,301",0.00,687.20,0,498,688.00,685.15,
25,Coromandel Int,790.90,-0.54,"699,888",790.90,0.00,828,0,798.00,795.20,
26,CG Consumer,466.25,1.49,"1,254,461",466.25,0.00,9,0,463.00,459.40,
27,Cummins,922.85,0.62,"398,802",0.00,922.85,0,"1,448",924.95,917.20,
28,Dalmia Bharat,"2,141.95",1.01,"167,057","2,141.95",0.00,43,0,"2,121.00","2,120.50",
29,Deepak Nitrite,"2,354.25",0.41,"388,117","2,354.25",0.00,437,0,"2,356.40","2,344.65",
30,Dhani Services,177.45,-1.55,"1,580,681",177.45,0.00,"2,184",0,180.50,180.25,
31,Dixon Technolog,"5,405.85",0.43,"326,988",0.00,"5,405.85",0,302,"5,435.00","5,382.65",
32,Dr Lal PathLab,"3,636.00",1.79,"91,471","3,636.00",0.00,89,0,"3,580.00","3,572.00",
33,Emami,556.55,2.70,"774,967",0.00,556.55,0,752,542.40,541.90,
34,Endurance Techn,"1,816.75",-5.20,"259,045",0.00,"1,816.75",0,222,"1,865.00","1,916.45",
35,Escorts,"1,580.75",3.91,"2,365,813","1,580.75",0.00,"11,062",0,"1,535.00","1,521.30",
36,Exide Ind,181.35,0.08,"916,199",181.35,0.00,172,0,181.90,181.20,
37,Federal Bank,100.10,-0.10,"13,928,829",0.00,100.10,0,"11,807",100.95,100.20,
38,Fortis Health,257.25,1.14,"925,315",0.00,257.25,0,"7,816",256.65,254.35,
39,Glenmark,523.80,1.74,"1,350,485",523.80,0.00,"21,720",0,514.85,514.85,
40,GMR Infra,42.05,-2.32,"21,709,880",0.00,42.05,0,"21,266",43.35,43.05,
41,Godrej Agrovet,606.95,-1.41,"95,456",0.00,606.95,0,49,615.85,615.65,
42,Godrej Ind,630.15,-0.41,"467,481",0.00,630.15,0,"2,213",636.90,632.75,
43,Godrej Prop,"2,291.95",-0.04,"1,733,393",0.00,"2,291.95",0,"2,616","2,320.00","2,292.80",
44,Gujarat Gas,669.00,2.31,"1,550,486",669.00,0.00,913,0,655.10,653.90,
45,Guj State Petro,315.05,-0.41,"974,547",315.05,0.00,95,0,318.50,316.35,
46,Hindustan Aeron,"1,417.15",1.58,"1,380,016","1,417.15",0.00,427,0,"1,415.00","1,395.05",
47,Hind Zinc,324.05,1.42,"760,512",0.00,324.05,0,256,321.50,319.50,
48,ICICI Securitie,801.70,2.99,"356,806",0.00,801.70,0,318,779.00,778.45,
49,IDFC First Bank,51.65,1.47,"25,653,038",51.65,0.00,"9,608",0,51.35,50.90,
50,Indiabulls Hsg,230.15,-2.85,"14,611,999",0.00,230.15,0,"10,449",235.00,236.90,
51,Indiamart Inter,"7,544.10",0.43,"202,449",0.00,"7,544.10",0,72,"7,551.00","7,511.65",
52,Indian Hotels,214.30,3.08,"6,719,530",214.30,0.00,"4,558",0,210.75,207.90,
53,Ipca Labs,"2,218.95",0.40,"463,237",0.00,"2,218.95",0,81,"2,210.95","2,210.00",
54,IRCTC,864.85,2.07,"9,255,302",864.85,0.00,32,0,853.00,847.30,
55,Jindal Steel,398.50,-0.81,"6,996,964",0.00,398.50,0,"6,115",405.50,401.75,
56,JSW Energy,322.60,-3.28,"1,189,748",0.00,322.60,0,"1,901",334.00,333.55,
57,L&T Finance,86.00,0.70,"3,602,112",0.00,86.00,0,"3,723",85.60,85.40,
58,L&T Technology,"5,288.95",2.29,"311,067",0.00,"5,288.95",0,980,"5,220.00","5,170.75",
59,Laurus Labs,452.45,-2.11,"4,250,872",452.45,0.00,577,0,462.60,462.20,
60,LIC Housing Fin,431.05,0.81,"2,393,294",431.05,0.00,523,0,430.90,427.60,
61,Mahanagar Gas,"1,009.20",0.36,"205,848",0.00,"1,009.20",0,71,"1,006.95","1,005.55",
62,M&M Financial,198.50,1.04,"1,834,531",198.50,0.00,"3,455",0,197.25,196.45,
63,Manappuram Fin,218.45,0.76,"2,362,133",0.00,218.45,0,160,218.00,216.80,
