,Name,LTP,P/E,Debt_to_equity,ESP,BVPS,Net_Profit(RS.cr),DSP(RS.),NPM%,ROE%,Category,Status,Profit_status
97,BPCL,413.8,5.23,0.75,81.87,255.89,17645.0,79.0,7.66,30.18,NIFTY_INFRA,Expect_decent_grouwth,marginal_profit
98,Bharti Airtel,720.05,-18.36,2.2,-27.65,147.9,-23327.0,0.0,-12.19,-25.58,NIFTY_INFRA,Least potential,Loss
99,Container Corp,665.25,72.75,0.01,8.22,168.9,469.0,5.0,7.3,4.95,NIFTY_INFRA,Expect_good_grouwth,marginal_profit
100,DLF,417.95,64.94,0.16,4.42,142.87,477.0,2.0,8.81,3.09,NIFTY_INFRA,Expect_good_grouwth,marginal_profit
101,Exide Ind,177.5,19.27,0.02,9.53,86.1,803.0,2.0,5.25,11.13,NIFTY_INFRA,Expect_decent_grouwth,marginal_profit
102,GAIL,145.0,9.96,0.13,13.61,119.99,4428.0,5.0,7.71,11.53,NIFTY_INFRA,Expect_decent_grouwth,marginal_profit
103,Grasim,1792.65,22.12,0.95,65.57,1558.52,6560.0,9.0,8.89,6.57,NIFTY_INFRA,Expect_decent_grouwth,marginal_profit
104,HPCL,326.0,3.32,1.12,70.57,262.19,10524.0,22.75,4.51,28.0,NIFTY_INFRA,Expect_decent_grouwth,marginal_profit
105,IOC,128.45,3.9,0.97,23.57,122.88,20565.0,12.0,5.65,19.34,NIFTY_INFRA,Expect_decent_grouwth,marginal_profit
106,IGL,497.1,30.59,0.0,16.75,90.49,1046.0,3.6,19.24,18.51,NIFTY_INFRA,Expect_decent_grouwth,Decent_Profit
107,INDUS TOWERS,288.4,13.98,0.44,17.52,58.91,2912.0,20.12,20.87,23.8,NIFTY_INFRA,Expect_decent_grouwth,Decent_Profit
108,Interglobe Avi,2332.0,-10.82,23.87,-150.89,2.73,-5806.0,0.0,-39.65,-5530.98,NIFTY_INFRA,Least potential,Loss
109,Larsen,1952.9,17.2,1.73,82.49,625.97,4668.0,36.0,9.49,15.26,NIFTY_INFRA,Expect_decent_grouwth,marginal_profit
110,MRF,79374.15,0.0,0.13,3011.14,31636.34,1277.0,150.0,7.9,9.52,NIFTY_INFRA,Least potential,marginal_profit
111,NTPC,136.45,7.17,1.57,14.87,133.31,14285.0,6.15,12.8,11.63,NIFTY_INFRA,Expect_decent_grouwth,Decent_Profit
112,ONGC,157.4,7.91,0.5,12.92,192.84,20324.0,3.6,6.68,7.35,NIFTY_INFRA,Expect_decent_grouwth,marginal_profit
113,Petronet LNG,228.05,11.47,0.0,19.59,78.71,2920.0,11.5,11.22,24.89,NIFTY_INFRA,Expect_decent_grouwth,marginal_profit
114,Power Grid Corp,191.05,7.03,1.87,23.01,133.68,11821.0,12.0,29.82,17.21,NIFTY_INFRA,Expect_decent_grouwth,huge_profit
115,Reliance,2464.0,26.23,0.32,76.37,1240.39,53223.0,7.0,11.39,7.01,NIFTY_INFRA,Expect_decent_grouwth,marginal_profit
116,Shree Cements,27691.05,46.51,0.12,633.54,4281.75,2289.0,60.0,16.98,14.84,NIFTY_INFRA,Expect_decent_grouwth,Decent_Profit
117,Siemens,2353.35,0.0,0.0,21.59,266.63,769.0,7.0,7.72,8.09,NIFTY_INFRA,Least potential,marginal_profit
118,Tata Power,249.9,32.57,1.85,3.17,74.32,611.0,1.55,1.74,5.41,NIFTY_INFRA,Expect_decent_grouwth,marginal_profit
119,Ramco Cements,1021.9,29.49,0.54,34.0,243.24,763.0,3.0,14.43,13.67,NIFTY_INFRA,Expect_decent_grouwth,Decent_Profit
120,UltraTechCement,7857.7,35.58,0.4,189.4,1530.59,5316.0,37.0,12.2,12.36,NIFTY_INFRA,Expect_decent_grouwth,Decent_Profit
121,Aarti Ind,987.2,21.93,0.71,30.04,201.71,535.0,3.0,11.87,14.94,NIFTY_COMMODITIES,Expect_decent_grouwth,marginal_profit
122,ACC,2471.55,0.0,0.01,76.16,675.69,1421.0,14.0,10.3,11.26,NIFTY_COMMODITIES,Least potential,marginal_profit
123,Adani Green Ene,1313.5,1624.78,27.22,0.68,5.03,176.0,0.0,5.63,24.39,NIFTY_COMMODITIES,Huge_growth_potential/Over_valued,marginal_profit
124,Ambuja Cements,409.15,0.0,0.0,11.91,146.54,3092.0,18.0,12.61,10.39,NIFTY_COMMODITIES,Least potential,Decent_Profit
125,Atul,9048.75,32.03,0.03,221.17,1302.65,652.0,20.0,17.49,17.13,NIFTY_COMMODITIES,Expect_decent_grouwth,Decent_Profit
126,BPCL,413.8,5.23,0.75,81.87,255.89,17645.0,79.0,7.66,30.18,NIFTY_COMMODITIES,Expect_decent_grouwth,marginal_profit
127,Coal India,156.1,6.32,0.16,20.61,59.97,12705.0,16.0,14.11,34.77,NIFTY_COMMODITIES,Expect_decent_grouwth,Decent_Profit
128,Coromandel Int,794.2,17.08,0.0,45.34,175.55,1323.0,12.0,9.31,25.8,NIFTY_COMMODITIES,Expect_decent_grouwth,marginal_profit
129,Dalmia Bharat,1990.95,24.2,0.23,65.65,684.49,1243.0,1.33,11.81,9.74,NIFTY_COMMODITIES,Expect_decent_grouwth,marginal_profit
130,Grasim,1792.65,22.12,0.95,65.57,1558.52,6560.0,9.0,8.89,6.57,NIFTY_COMMODITIES,Expect_decent_grouwth,marginal_profit
131,Hindalco,445.4,20.87,0.98,15.66,299.73,5177.0,3.0,2.63,5.23,NIFTY_COMMODITIES,Expect_decent_grouwth,marginal_profit
132,HPCL,326.0,3.32,1.12,70.57,262.19,10524.0,22.75,4.51,28.0,NIFTY_COMMODITIES,Expect_decent_grouwth,marginal_profit
133,Hind Zinc,332.65,14.45,0.2,18.89,76.48,7980.0,21.3,35.26,24.69,NIFTY_COMMODITIES,Expect_decent_grouwth,huge_profit
134,IOC,128.45,3.9,0.97,23.57,122.88,20565.0,12.0,5.65,19.34,NIFTY_COMMODITIES,Expect_decent_grouwth,marginal_profit
135,Jindal Steel,381.9,9.64,0.68,35.63,303.3,5526.0,0.0,10.94,11.42,NIFTY_COMMODITIES,Expect_decent_grouwth,marginal_profit
136,JSW Steel,662.35,14.23,1.11,32.91,152.8,7872.0,6.5,9.85,16.91,NIFTY_COMMODITIES,Expect_decent_grouwth,marginal_profit
137,NMDC,138.2,6.54,0.07,20.7,102.02,6247.0,7.76,40.64,21.0,NIFTY_COMMODITIES,Expect_decent_grouwth,huge_profit
138,NTPC,136.45,7.17,1.57,14.87,133.31,14285.0,6.15,12.8,11.63,NIFTY_COMMODITIES,Expect_decent_grouwth,Decent_Profit
139,ONGC,157.4,7.91,0.5,12.92,192.84,20324.0,3.6,6.68,7.35,NIFTY_COMMODITIES,Expect_decent_grouwth,marginal_profit
140,PI Industries,2897.2,45.24,0.05,49.92,351.47,733.0,5.0,16.03,13.81,NIFTY_COMMODITIES,Expect_decent_grouwth,Decent_Profit
141,Pidilite Ind,2414.45,81.28,0.04,22.26,114.78,1122.0,8.5,15.38,20.22,NIFTY_COMMODITIES,Expect_good_grouwth,Decent_Profit
142,Reliance,2464.0,26.23,0.32,76.37,1240.39,53223.0,7.0,11.39,7.01,NIFTY_COMMODITIES,Expect_decent_grouwth,marginal_profit
143,Shree Cements,27691.05,46.51,0.12,633.54,4281.75,2289.0,60.0,16.98,14.84,NIFTY_COMMODITIES,Expect_decent_grouwth,Decent_Profit
144,Tata Power,249.9,32.57,1.85,3.17,74.32,611.0,1.55,1.74,5.41,NIFTY_COMMODITIES,Expect_decent_grouwth,marginal_profit
145,Tata Steel,1220.05,12.73,1.11,63.78,640.69,7862.0,25.0,5.03,10.19,NIFTY_COMMODITIES,Expect_decent_grouwth,marginal_profit
146,Ramco Cements,1021.9,29.49,0.54,34.0,243.24,763.0,3.0,14.43,13.67,NIFTY_COMMODITIES,Expect_decent_grouwth,Decent_Profit
147,Torrent Power,540.6,15.78,0.66,26.86,212.65,1295.0,11.0,10.64,12.67,NIFTY_COMMODITIES,Expect_decent_grouwth,marginal_profit
148,UltraTechCement,7857.7,35.58,0.4,189.4,1530.59,5316.0,37.0,12.2,12.36,NIFTY_COMMODITIES,Expect_decent_grouwth,Decent_Profit
149,UPL,755.6,17.63,1.32,36.4,282.27,3453.0,10.0,8.92,16.03,NIFTY_COMMODITIES,Expect_decent_grouwth,marginal_profit
150,Vedanta,338.2,7.3,0.8,31.32,208.11,15033.0,9.5,17.07,18.62,NIFTY_COMMODITIES,Expect_decent_grouwth,Decent_Profit
151,Apollo Hospital,5733.95,270.27,0.54,10.74,333.96,136.0,3.0,1.28,3.26,NIFTY_CONSUMPTION,Huge_growth_potential/Over_valued,marginal_profit
152,Asian Paints,3230.25,77.53,0.03,32.73,137.92,3178.0,17.85,14.63,24.51,NIFTY_CONSUMPTION,Expect_good_grouwth,Decent_Profit
153,Avenue Supermar,5126.4,168.48,0.0,16.97,188.09,1099.0,0.0,4.55,9.02,NIFTY_CONSUMPTION,Expect_good_grouwth,marginal_profit
154,Bajaj Auto,3583.8,21.86,0.0,167.9,942.51,4550.0,140.0,16.4,17.8,NIFTY_CONSUMPTION,Expect_decent_grouwth,Decent_Profit
