,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
47,HDFC Bank,"1,530.80",25.81,0.00,57.88,380.59,"31,857.00",6.50,24.78,15.17,NIFTY,FIN,SERVICE,,,
48,HDFC Life,711.05,103.29,0.05,6.74,55.38,"1,360.00",0.00,81.04,12.15,NIFTY,FIN,SERVICE,,,
49,HDFC,"2,948.40",23.66,2.85,105.59,918.08,"13,566.00",23.00,9.75,11.95,NIFTY,FIN,SERVICE,,,
50,ICICI Bank,761.30,21.35,0.00,27.26,223.31,"20,220.00",0.00,22.83,11.90,NIFTY,FIN,SERVICE,,,
51,ICICI Lombard,"1,529.00",44.22,0.06,32.41,178.53,"1,473.00",8.00,59.87,18.15,NIFTY,FIN,SERVICE,,,
52,ICICI Prudentia,643.25,66.91,0.10,6.66,84.28,956.00,2.00,34.69,7.90,NIFTY,FIN,SERVICE,,,
53,Kotak Mahindra,"2,053.10",34.69,0.00,50.53,425.56,"9,903.00",0.00,30.17,11.84,NIFTY,FIN,SERVICE,,,
54,M&M Financial,179.10,28.46,4.13,6.99,128.86,740.00,0.80,6.14,4.90,NIFTY,FIN,SERVICE,,,
55,Muthoot Finance,"1,639.20",12.72,3.24,94.84,392.82,"3,818.00",20.00,33.11,24.42,NIFTY,FIN,SERVICE,,,
56,Piramal Enter,"2,573.00",31.20,0.97,56.19,"1,490.21","1,074.00",33.00,8.38,4.10,NIFTY,FIN,SERVICE,,,
57,Power Finance,131.85,2.56,10.86,44.50,309.80,"15,709.00",10.00,21.92,19.33,NIFTY,FIN,SERVICE,,,
58,REC,138.40,3.09,7.63,42.42,218.77,"8,380.00",12.71,23.57,19.39,NIFTY,FIN,SERVICE,,,
59,SBI Life Insura,"1,187.20",60.50,0.00,14.56,104.00,"1,455.00",2.50,61.49,13.99,NIFTY,FIN,SERVICE,,,
60,Shriram Trans,"1,630.85",14.02,4.89,101.44,858.19,"2,487.00",18.00,14.27,11.50,NIFTY,FIN,SERVICE,,,
61,SBI,498.15,14.51,0.00,25.11,282.35,"22,912.00",4.00,8.73,8.89,NIFTY,FIN,SERVICE,,,
62,Name LTP,P/E,Debt,to,Equity,EPS(Rs.),BVPS(Rs.),Net,Profit(Rs.,Cr),DPS(Rs.),NPM%,ROE%,NIFTY,PHARMA,
63,Alkem Lab,"3,476.90",20.89,0.23,132.57,632.20,"1,617.00",30.00,18.24,21.48,NIFTY,PHARMA,,,,
64,Aurobindo Pharm,666.55,9.68,0.23,91.05,374.28,"5,389.00",4.00,21.75,24.32,NIFTY,PHARMA,,,,
65,Biocon,376.40,65.53,0.47,6.24,70.09,925.00,0.00,12.88,9.83,NIFTY,PHARMA,,,,
66,Cadila Health,472.10,21.16,0.28,20.84,145.80,"2,137.00",3.50,14.15,16.42,NIFTY,PHARMA,,,,
67,Cipla,905.35,27.33,0.08,29.82,230.46,"2,401.00",5.00,12.53,13.12,NIFTY,PHARMA,,,,
68,Divis Labs,"4,763.85",48.47,0.00,74.75,350.15,"1,984.00",20.00,28.47,21.34,NIFTY,PHARMA,,,,
69,Dr Reddys Labs,"4,768.30",38.38,0.17,117.67,"1,060.20","1,903.00",25.00,9.99,11.06,NIFTY,PHARMA,,,,
70,Lupin,910.15,38.02,0.22,26.84,305.45,"1,226.00",6.50,8.08,8.81,NIFTY,PHARMA,,,,
71,Sun Pharma,791.35,49.40,0.07,12.10,206.23,"2,284.00",7.50,6.82,6.24,NIFTY,PHARMA,,,,
72,Torrent Pharma,"2,834.40",34.40,0.62,73.98,344.90,"1,251.00",35.00,15.63,21.44,NIFTY,PHARMA,,,,
73,Name LTP,P/E,Debt,to,Equity,EPS(Rs.),BVPS(Rs.),Net,Profit(Rs.,Cr),DPS(Rs.),NPM%,ROE%,NIFTY,FMCG,
74,Britannia,"3,615.05",46.82,0.59,77.43,148.78,"1,849.00",157.50,14.08,52.53,NIFTY,FMCG,,,,
75,Colgate,"1,484.15",40.96,0.00,38.07,42.86,"1,035.00",38.00,21.38,88.80,NIFTY,FMCG,,,,
76,Dabur India,608.00,56.42,0.06,9.58,43.57,"1,695.00",4.75,17.76,22.09,NIFTY,FMCG,,,,
77,Emami,526.90,47.51,0.05,10.23,39.63,458.00,8.00,15.93,25.79,NIFTY,FMCG,,,,
